Device_Name,Start,End,Removed_Hours
设备78,2013-06-06 17:34:27,2013-07-04 15:34:27,671
设备78,2013-07-05 10:34:27,2013-09-27 10:34:27,2017
设备78,2013-09-29 18:34:27,2013-10-17 10:34:27,425
设备78,2014-01-10 17:34:27,2014-01-28 08:34:27,424
设备78,2014-01-28 19:34:27,2014-02-12 08:34:27,350
设备79,2013-03-06 11:34:27,2013-03-25 13:34:27,459
设备79,2013-04-17 18:34:27,2013-05-02 10:34:27,353
设备79,2013-05-31 11:34:27,2013-06-18 08:34:27,430
设备79,2013-07-06 11:34:27,2013-08-15 07:34:27,957
设备80,2013-04-17 18:34:27,2013-05-02 10:34:27,353
设备80,2013-07-06 11:34:27,2013-08-15 08:34:27,958
设备81,2013-01-10 08:34:27,2013-02-25 11:34:27,1108
设备81,2013-04-06 16:34:27,2014-03-11 11:34:27,8132
设备82,2013-05-14 14:34:27,2013-06-01 18:34:27,437
设备82,2013-07-07 17:34:27,2013-08-15 09:34:27,929
设备83,2013-07-07 13:34:27,2013-08-15 09:34:27,933
设备84,2013-01-19 08:34:27,2013-02-05 17:34:27,418
设备84,2013-02-05 19:34:27,2013-03-18 16:34:27,982
设备84,2013-04-18 20:34:27,2013-05-13 09:34:27,590
设备84,2013-05-13 12:34:27,2013-06-01 18:34:27,463
设备84,2013-06-06 17:34:27,2013-07-04 15:34:27,671
设备84,2013-07-06 12:34:27,2013-08-19 14:34:27,1059
设备84,2013-08-19 16:34:27,2013-10-09 13:34:27,1222
设备84,2013-10-22 21:34:27,2013-11-06 08:34:27,348
设备84,2013-11-29 23:34:27,2014-01-10 15:34:27,1001
设备84,2014-01-13 15:34:27,2014-03-11 11:34:27,1365
设备85,2013-07-06 12:34:27,2013-08-15 07:34:27,956
设备86,2013-07-08 09:34:27,2013-08-15 07:34:27,911
