device,fold,seq_len,train_windows,train_positive,val_windows,val_positive,test_windows,test_positive,status
设备17,7,3,6116,183,764,32,764,33,ready
设备17,7,6,6098,182,761,32,761,33,ready
设备17,7,12,6062,182,755,30,755,28,ready
设备17,7,24,5990,181,743,28,743,28,ready
设备17,8,3,6123,205,760,11,764,32,ready
设备17,8,6,6111,205,754,10,761,32,ready
设备17,8,12,6087,205,742,10,755,30,ready
设备17,8,24,6039,204,718,10,743,28,ready
设备17,9,3,6123,224,764,13,760,11,ready
设备17,9,6,6111,224,761,13,754,10,ready
设备17,9,12,6087,224,755,13,742,10,ready
设备17,9,24,6039,222,743,13,718,10,ready
设备18,0,3,3741,63,468,3,468,1,ready
设备18,0,6,3720,62,465,3,465,1,ready
设备18,0,12,3678,59,459,3,459,1,ready
设备18,0,24,3594,47,447,3,447,1,ready
设备18,1,3,3742,57,464,7,468,3,ready
设备18,1,6,3721,56,458,7,465,3,ready
设备18,1,12,3679,53,446,7,459,3,ready
设备18,1,24,3595,42,422,6,447,3,ready
设备18,2,3,3743,55,467,5,464,7,ready
设备18,2,6,3722,54,464,5,458,7,ready
设备18,2,12,3680,51,458,5,446,7,ready
设备18,2,24,3596,40,446,5,422,6,ready
设备18,3,3,3742,59,465,3,467,5,ready
设备18,3,6,3721,58,459,3,464,5,ready
设备18,3,12,3679,55,447,3,458,5,ready
设备18,3,24,3595,43,423,3,446,5,ready
设备18,4,3,3749,60,460,4,465,3,ready
设备18,4,6,3734,59,451,4,459,3,ready
设备18,4,12,3704,56,433,4,447,3,ready
设备18,4,24,3644,45,397,3,423,3,ready
设备18,5,3,3747,61,467,2,460,4,ready
设备18,5,6,3729,60,464,2,451,4,ready
设备18,5,12,3693,57,458,2,433,4,ready
设备18,5,24,3621,46,446,2,397,3,ready
设备18,6,3,3739,62,468,3,467,2,ready
设备18,6,6,3715,60,465,3,464,2,ready
设备18,6,12,3667,57,459,3,458,2,ready
设备18,6,24,3571,45,447,3,446,2,ready
设备18,7,3,3738,59,468,5,468,3,ready
设备18,7,6,3714,58,465,4,465,3,ready
设备18,7,12,3666,55,459,4,459,3,ready
设备18,7,24,3570,43,447,4,447,3,ready
设备18,8,3,3748,28,461,34,468,5,ready
设备18,8,6,3733,28,452,33,465,4,ready
设备18,8,12,3703,28,434,30,459,4,ready
设备18,8,24,3643,26,398,20,447,4,ready
设备18,9,3,3748,32,468,1,461,34,ready
设备18,9,6,3733,32,465,1,452,33,ready
设备18,9,12,3703,32,459,1,434,30,ready
设备18,9,24,3643,30,447,1,398,20,ready
设备19,0,3,5149,116,642,15,642,8,ready
设备19,0,6,5137,116,639,15,639,8,ready
设备19,0,12,5113,115,633,15,633,8,ready
设备19,0,24,5065,114,621,15,621,8,ready
设备19,1,3,5146,105,642,19,642,15,ready
设备19,1,6,5131,104,639,19,639,15,ready
设备19,1,12,5101,104,633,18,633,15,ready
设备19,1,24,5041,103,621,18,621,15,ready
设备19,2,3,5148,112,640,8,642,19,ready
设备19,2,6,5136,112,634,7,639,19,ready
设备19,2,12,5112,112,622,7,633,18,ready
设备19,2,24,5064,112,598,6,621,18,ready
设备19,3,3,5151,122,639,9,640,8,ready
设备19,3,6,5142,122,633,9,634,7,ready
设备19,3,12,5124,122,621,9,622,7,ready
设备19,3,24,5088,122,597,9,598,6,ready
设备19,4,3,5149,117,642,13,639,9,ready
设备19,4,6,5137,117,639,13,633,9,ready
设备19,4,12,5113,117,633,13,621,9,ready
设备19,4,24,5065,115,621,13,597,9,ready
设备19,5,3,5145,106,643,20,642,13,ready
设备19,5,6,5130,106,640,20,639,13,ready
设备19,5,12,5100,106,634,20,633,13,ready
设备19,5,24,5040,104,622,19,621,13,ready
设备19,6,3,5145,93,642,26,643,20,ready
设备19,6,6,5130,93,639,26,640,20,ready
设备19,6,12,5100,93,633,26,634,20,ready
设备19,6,24,5040,92,621,25,622,19,ready
设备19,7,3,5146,98,642,15,642,26,ready
设备19,7,6,5131,98,639,15,639,26,ready
设备19,7,12,5101,98,633,15,633,26,ready
设备19,7,24,5041,97,621,15,621,25,ready
设备19,8,3,5153,118,638,6,642,15,ready
设备19,8,6,5144,118,632,6,639,15,ready
设备19,8,12,5126,118,620,6,633,15,ready
设备19,8,24,5090,117,596,6,621,15,ready
设备19,9,3,5153,125,642,8,638,6,ready
设备19,9,6,5144,125,639,8,632,6,ready
设备19,9,12,5126,125,633,8,620,6,ready
设备19,9,24,5090,124,621,8,596,6,ready
设备1,0,3,3684,115,456,11,461,21,ready
设备1,0,6,3668,114,450,10,458,21,ready
设备1,0,12,3638,113,438,10,452,21,ready
设备1,0,24,3578,113,421,9,440,21,ready
设备1,1,3,3682,124,460,12,456,11,ready
设备1,1,6,3663,123,457,12,450,10,ready
设备1,1,12,3627,121,451,12,438,10,ready
设备1,1,24,3555,121,439,12,421,9,ready
设备1,2,3,3678,116,460,18,460,12,ready
设备1,2,6,3656,114,457,18,457,12,ready
设备1,2,12,3614,112,451,17,451,12,ready
设备1,2,24,3530,112,439,17,439,12,ready
设备1,3,3,3681,111,457,17,460,18,ready
设备1,3,6,3662,109,451,17,457,18,ready
设备1,3,12,3626,109,439,15,451,17,ready
设备1,3,24,3554,109,415,15,439,17,ready
设备1,4,3,3688,113,453,16,457,17,ready
设备1,4,6,3673,112,446,15,451,17,ready
设备1,4,12,3643,111,434,15,439,15,ready
设备1,4,24,3583,111,410,15,415,15,ready
设备1,5,3,3685,109,460,22,453,16,ready
设备1,5,6,3667,108,457,22,446,15,ready
设备1,5,12,3631,107,451,21,434,15,ready
设备1,5,24,3559,106,439,21,410,15,ready
设备1,6,3,3678,108,460,17,460,22,ready
设备1,6,6,3656,106,457,17,457,22,ready
设备1,6,12,3614,105,451,17,451,21,ready
设备1,6,24,3530,105,439,16,439,21,ready
设备1,7,3,3685,119,453,11,460,17,ready
设备1,7,6,3669,117,444,11,457,17,ready
设备1,7,12,3639,116,426,11,451,17,ready
设备1,7,24,3579,116,390,11,439,16,ready
设备1,8,3,3688,135,460,1,453,11,ready
设备1,8,6,3675,133,457,1,444,11,ready
设备1,8,12,3651,132,451,1,426,11,ready
设备1,8,24,3603,132,439,1,390,11,ready
设备1,9,3,3680,125,461,21,460,1,ready
设备1,9,6,3661,123,458,21,457,1,ready
设备1,9,12,3625,122,452,21,451,1,ready
设备1,9,24,3560,121,440,21,439,1,ready
设备20,0,3,2715,25,339,5,336,6,ready
设备20,0,6,2696,24,336,5,330,6,ready
设备20,0,12,2661,23,330,5,318,6,ready
设备20,0,24,2601,22,318,5,294,4,ready
设备20,1,3,2709,30,339,1,339,5,ready
设备20,1,6,2684,29,336,1,336,5,ready
设备20,1,12,2637,28,330,1,330,5,ready
设备20,1,24,2553,25,318,1,318,5,ready
设备20,2,3,2721,29,327,6,339,1,ready
设备20,2,6,2706,29,314,5,336,1,ready
设备20,2,12,2676,28,297,4,330,1,ready
设备20,2,24,2616,26,273,4,318,1,ready
设备20,3,3,2724,26,336,4,327,6,ready
设备20,3,6,2712,26,330,4,314,5,ready
设备20,3,12,2688,26,318,3,297,4,ready
设备20,3,24,2640,24,294,3,273,4,ready
设备20,4,3,2712,31,339,1,336,4,ready
设备20,4,6,2690,30,336,1,330,4,ready
设备20,4,12,2655,29,330,1,318,3,ready
设备20,4,24,2595,27,318,1,294,3,ready
设备20,5,3,2709,33,339,2,339,1,ready
设备20,5,6,2684,32,336,2,336,1,ready
设备20,5,12,2637,31,330,2,330,1,ready
设备20,5,24,2553,28,318,2,318,1,ready
设备20,6,3,2709,31,339,3,339,2,ready
设备20,6,6,2684,30,336,3,336,2,ready
设备20,6,12,2637,29,330,3,330,2,ready
设备20,6,24,2553,26,318,3,318,2,ready
设备20,7,3,2709,28,339,5,339,3,ready
设备20,7,6,2684,27,336,5,336,3,ready
设备20,7,12,2637,26,330,5,330,3,ready
设备20,7,24,2553,23,318,5,318,3,ready
设备20,8,3,2715,28,336,3,339,5,ready
设备20,8,6,2696,27,330,3,336,5,ready
设备20,8,12,2661,26,318,3,330,5,ready
设备20,8,24,2601,23,294,3,318,5,ready
设备20,9,3,2718,27,336,6,336,3,ready
设备20,9,6,2702,26,330,6,330,3,ready
设备20,9,12,2673,25,318,6,318,3,ready
设备20,9,24,2625,24,294,4,294,3,ready
