Device,Seq_Len,MSE,MAE,Model
设备3,12,0.0075020140516873545,0.01419891196665276,XGBoost
设备3,24,0.007442622280960106,0.013957049361199564,XGBoost
设备18,3,0.0029080607371542696,0.006906684297663997,XGBoost
设备18,6,0.002909863384533562,0.0068721092155422355,XGBoost
设备18,12,0.0029101339315358334,0.006896281987497178,XGBoost
设备18,24,0.0029371086856735135,0.006635805194093233,XGBoost
设备38,3,0.0010154475153778288,0.006983823931900559,XGBoost
设备38,6,0.0010122935977506576,0.00656224901733153,XGBoost
设备38,12,0.0010021602356923794,0.005863789614936763,XGBoost
设备38,24,0.0010024109462894058,0.005862119345292668,XGBoost
设备65,3,0.0024223410607599857,0.005698640714342478,XGBoost
设备65,6,0.0026352911033231136,0.005748858536118824,XGBoost
设备65,12,0.0025554911248641507,0.005762376747737662,XGBoost
设备65,24,0.0025433538723576613,0.005242309731811885,XGBoost
设备8,3,0.00012566201517727818,0.01120990701019764,XGBoost
设备8,6,9.924634181701641e-05,0.00996224582195282,XGBoost
设备8,12,8.299288027955112e-05,0.009110042825341225,XGBoost
设备8,24,4.1693583166649284e-05,0.006457056850194931,XGBoost
设备47,3,0.0010054040610482228,0.003231752382594561,XGBoost
设备47,6,0.0009975375843340904,0.003053599878844312,XGBoost
设备47,12,0.0014694413084349277,0.0035074946750663387,XGBoost
设备47,24,0.001114424676067773,0.003230519928628202,XGBoost
设备20,3,0.043542838277713936,0.017155887961290896,XGBoost
设备20,6,0.043563988137705435,0.017048064843345177,XGBoost
设备20,12,0.0435818277112067,0.016844425275748254,XGBoost
设备20,24,0.04585012014301327,0.018061429809244654,XGBoost
设备9,3,7.565623464595231e-05,0.008698059245944023,XGBoost
设备9,6,4.63746625724746e-05,0.00680989446118474,XGBoost
设备9,12,4.228979534759425e-05,0.006503060460090637,XGBoost
设备9,24,1.928210499472019e-05,0.00439113937318325,XGBoost
设备79,3,0.013091560886512355,0.017189798349152297,XGBoost
设备79,6,0.012720184872059136,0.01686679150215259,XGBoost
设备79,12,0.012807794715313896,0.01726641027277857,XGBoost
设备79,24,0.01389311103436688,0.018638048336332508,XGBoost
设备35,3,0.0024534045287010627,0.0047001665930817196,XGBoost
设备35,6,0.002455818150694202,0.004729185100672219,XGBoost
设备35,12,0.0024728369758421505,0.00482642813009046,XGBoost
设备35,24,0.0024940543900647313,0.004930705498606205,XGBoost
设备82,3,0.0010128742445918743,0.0030661725090284564,XGBoost
设备82,6,0.0009966832109689367,0.0029715896665127766,XGBoost
设备82,12,0.0009925727687394939,0.002547963906904886,XGBoost
设备82,24,0.0009905182416901175,0.0020358991901932764,XGBoost
设备66,3,0.0019861024304687882,0.005527467976357571,XGBoost
设备66,6,0.0020039778723440187,0.005611765152414092,XGBoost
设备66,12,0.002013586956957536,0.005673712807446682,XGBoost
设备66,24,0.00199431110905301,0.005201553001181975,XGBoost
设备67,3,0.0020034945144909617,0.004924534416416663,XGBoost
设备67,6,0.0023257400514465057,0.005184231100800247,XGBoost
设备67,12,0.0020711309689398164,0.004738327349404119,XGBoost
设备67,24,0.001984736379207809,0.0035777892891664335,XGBoost
设备17,3,0.0029175160515694477,0.0064560679587321555,XGBoost
设备17,6,0.003755106479879064,0.007470443610366726,XGBoost
设备17,12,0.0035465845299311087,0.006951196092354932,XGBoost
设备17,24,0.0036340013667391247,0.0066799352886448005,XGBoost
设备83,3,2.5124734988358126,0.479524066690894,XGBoost
设备83,6,2.5271417687402318,0.4930367464674454,XGBoost
设备83,12,2.532548732426552,0.4885779980710758,XGBoost
设备83,24,2.5909088835075806,0.49646222460392886,XGBoost
